0	0.11	2.8101	1.06126	0.00474
1	0.11	2.8101	1.00546	0.00448
2	0.11	2.8101	0.87746	0.003886
3	0.11	2.8101	0.7199	0.00316
4	0.11	2.8101	0.56606	0.002462
5	0.11	2.8101	0.43098	0.001872
6	0.11	2.8101	0.31976	0.001412
7	0.11	2.8101	0.23222	0.001072
8	0.11	2.8101	0.1656	0.000826
9	0.11	2.8101	0.11626	0.00065
10	0.11	2.8101	0.08052	0.000524
11	0.11	2.8101	0.0551	0.000436
12	0.11	2.8101	0.03732	0.00037
13	0.11	2.8101	0.02502	0.00032
14	0.11	2.8101	0.01666	0.000284
15	0.11	2.8101	0.01102	0.000258
16	0.11	2.8101	0.00728	0.000244
17	0.11	2.8101	0.0048	0.000234
18	0.11	2.8101	0.00316	0.000226
19	0.11	2.8101	0.00206	0.00022
20	0.11	2.8101	0.00138	0.000216
				
				
				
0	0.0828	1.5807	1.04442	0.002386
1	0.0828	1.5807	1.00006	0.002288
2	0.0828	1.5807	0.89694	0.00206
3	0.0828	1.5807	0.76538	0.001776
4	0.0828	1.5807	0.63142	0.00149
5	0.0828	1.5807	0.50786	0.001234
6	0.0828	1.5807	0.40032	0.00102
7	0.0828	1.5807	0.31032	0.000848
8	0.0828	1.5807	0.23718	0.00071
9	0.0828	1.5807	0.1791	0.000598
10	0.0828	1.5807	0.13382	0.000506
11	0.0828	1.5807	0.09908	0.000432
12	0.0828	1.5807	0.07276	0.00037
13	0.0828	1.5807	0.05306	0.000316
14	0.0828	1.5807	0.03846	0.00027
15	0.0828	1.5807	0.02772	0.000234
16	0.0828	1.5807	0.0199	0.000204
17	0.0828	1.5807	0.01422	0.000182
18	0.0828	1.5807	0.01014	0.000166
19	0.0828	1.5807	0.00722	0.000152
20	0.0828	1.5807	0.00512	0.000144
				
				
				
0	0.0626	0.9638	1.03468	0.002588
1	0.0626	0.9638	0.99786	0.002496
2	0.0626	0.9638	0.9117	0.002284
3	0.0626	0.9638	0.79924	0.002016
4	0.0626	0.9638	0.68158	0.001752
5	0.0626	0.9638	0.56942	0.001512
6	0.0626	0.9638	0.46804	0.001306
7	0.0626	0.9638	0.37958	0.001134
8	0.0626	0.9638	0.30436	0.000988
9	0.0626	0.9638	0.24164	0.000868
10	0.0626	0.9638	0.1902	0.000762
11	0.0626	0.9638	0.14858	0.000672
12	0.0626	0.9638	0.11528	0.000592
13	0.0626	0.9638	0.0889	0.000522
14	0.0626	0.9638	0.06818	0.000464
15	0.0626	0.9638	0.05202	0.000416
16	0.0626	0.9638	0.03952	0.000378
17	0.0626	0.9638	0.02992	0.000346
18	0.0626	0.9638	0.02256	0.000318
19	0.0626	0.9638	0.01694	0.000296
20	0.0626	0.9638	0.01268	0.000276
