0	0.1213	3.4269	1.05956	0.004532
1	0.1213	3.4269	1.00082	0.004282
2	0.1213	3.4269	0.86872	0.003724
3	0.1213	3.4269	0.70696	0.003058
4	0.1213	3.4269	0.55034	0.002426
5	0.1213	3.4269	0.41418	0.001886
6	0.1213	3.4269	0.30338	0.001446
7	0.1213	3.4269	0.21734	0.001096
8	0.1213	3.4269	0.15284	0.000828
9	0.1213	3.4269	0.1058	0.000632
10	0.1213	3.4269	0.07222	0.000498
11	0.1213	3.4269	0.04864	0.000412
12	0.1213	3.4269	0.03238	0.000352
13	0.1213	3.4269	0.0213	0.000308
14	0.1213	3.4269	0.01384	0.000278
15	0.1213	3.4269	0.00888	0.00026
16	0.1213	3.4269	0.00562	0.000248
17	0.1213	3.4269	0.0035	0.00024
				
				
				
0	0.0882	1.9277	1.0425	0.005116
1	0.0882	1.9277	0.99638	0.004888
2	0.0882	1.9277	0.89136	0.004374
3	0.0882	1.9277	0.75748	0.00373
4	0.0882	1.9277	0.62168	0.003094
5	0.0882	1.9277	0.49698	0.002532
6	0.0882	1.9277	0.389	0.002066
7	0.0882	1.9277	0.29924	0.001694
8	0.0882	1.9277	0.22682	0.0014
9	0.0882	1.9277	0.16976	0.00116
10	0.0882	1.9277	0.12562	0.000966
11	0.0882	1.9277	0.09204	0.000812
12	0.0882	1.9277	0.06684	0.000696
13	0.0882	1.9277	0.04814	0.000612
14	0.0882	1.9277	0.03442	0.000556
15	0.0882	1.9277	0.02444	0.000512
16	0.0882	1.9277	0.01726	0.000478
17	0.0882	1.9277	0.0121	0.000448
18	0.0882	1.9277	0.00844	0.00042
19	0.0882	1.9277	0.00586	0.00039
20	0.0882	1.9277	0.00406	0.000362
				
				
				
0	0.0574	0.8567	1.03232	0.00161
1	0.0574	0.8567	0.99688	0.001554
2	0.0574	0.8567	0.9158	0.001424
3	0.0574	0.8567	0.80902	0.001256
4	0.0574	0.8567	0.69648	0.001082
5	0.0574	0.8567	0.58824	0.000924
6	0.0574	0.8567	0.48936	0.000786
7	0.0574	0.8567	0.40208	0.00067
8	0.0574	0.8567	0.3269	0.000578
9	0.0574	0.8567	0.26336	0.000502
10	0.0574	0.8567	0.21048	0.000442
11	0.0574	0.8567	0.16704	0.00039
12	0.0574	0.8567	0.13172	0.000346
13	0.0574	0.8567	0.10328	0.000308
14	0.0574	0.8567	0.08054	0.000276
15	0.0574	0.8567	0.0625	0.000246
16	0.0574	0.8567	0.04828	0.00022
17	0.0574	0.8567	0.03714	0.000194
18	0.0574	0.8567	0.02844	0.00017
19	0.0574	0.8567	0.0217	0.00015
20	0.0574	0.8567	0.01648	0.00013
21	0.0574	0.8567	0.0125	0.000116
22	0.0574	0.8567	0.00944	0.000102
23	0.0574	0.8567	0.0071	0.000092
24	0.0574	0.8567	0.00534	0.000084
25	0.0574	0.8567	0.00402	0.000078
				
				
				
0	0.0425	0.4819	1.03802	0.001528
1	0.0425	0.4819	1.00714	0.00148
2	0.0425	0.4819	0.93664	0.001372
3	0.0425	0.4819	0.8425	0.001228
4	0.0425	0.4819	0.74176	0.001076
5	0.0425	0.4819	0.64294	0.000934
6	0.0425	0.4819	0.5505	0.000808
7	0.0425	0.4819	0.46666	0.000698
8	0.0425	0.4819	0.39226	0.000606
9	0.0425	0.4819	0.32734	0.00053
10	0.0425	0.4819	0.27142	0.000468
